start_house_number,end_house_number,odd_even_both,start_apartment_number,end_apartment_number,non_house_address_house_number,non_house_address_house_number_prefix,non_house_address_house_number_suffix,non_house_address_street_direction,non_house_address_street_name,non_house_address_street_suffix,non_house_address_address_direction,non_house_address_apartment,non_house_address_city,non_house_address_state,non_house_address_zip,precinct_id,precinct_split_id,id
2201,2399,ODD,,,,,,,LOETTA,TRL,,,GREEN LEVEL,NC,27217,9100137,710012837,99100110079
2,198,EVEN,,,,,,,LONDON,LN,,,MEBANE,NC,27302,9100124,710017654,99100110080
1,199,ODD,,,,,,,LONDON,LN,,,MEBANE,NC,27302,9100124,710017654,99100110081
101,199,ODD,,,,,,,LONG,AVE,,,BURLINGTON,NC,27217,9100130,71001421,99100110082
200,398,EVEN,,,,,,,LONG,AVE,,,GRAHAM,NC,27253,9100114,710012678,99100110083
201,399,ODD,,,,,,,LONG,AVE,,,GRAHAM,NC,27253,9100114,710012678,99100110084
1300,1498,EVEN,,,,,,,LONG,ST,,,BURLINGTON,NC,27215,9100135,710011554,99100110085
1301,1499,ODD,,,,,,,LONG,ST,,,BURLINGTON,NC,27215,9100135,710011554,99100110086
1106,1108,EVEN,,,,,,,LONG,ST,,,BURLINGTON,NC,27217,9100135,710011554,99100110087
100,198,EVEN,,,,,,,LONG,ST,,,ELON,NC,27244,910015,710015630,99100110088
101,199,ODD,,,,,,,LONG,ST,,,ELON,NC,27244,910015,710015630,99100110089
1300,1398,EVEN,,,,,,,LONG DAIRY,CT,,,GRAHAM,NC,27253,9100122,710011796,99100110090
1301,1399,ODD,,,,,,,LONG DAIRY,CT,,,GRAHAM,NC,27253,9100122,710011796,99100110091
2700,2934,EVEN,,,,,,,LONG PINE,RD,,,BURLINGTON,NC,27215,910016,710015686,99100110092
2701,2935,ODD,,,,,,,LONG PINE,RD,,,BURLINGTON,NC,27215,910016,710015686,99100110093
100,298,EVEN,,,,,,,LONGBROOK,DR,,,ELON,NC,27244,910015,710015630,99100110094
